CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
4,3.4,7,-10,0.45,1150,1,1,15,2,1,0.08,0.01,0.1,1,2,1,3,3,3,3883.778,2102.595,4672.433,7433.52,8050,640.245,1585.016,246140.71,154935.289,401075.999,532351.522,131275.523,66.131,16.30751839,2145338.621,266.502,51197.45397,6.35993217,4705211.32,584.4986085
4,3.5,2,-15,0.35,1100,0,1,20,3,2,0.09,0.01,0.07,3,2,1,2,2,1,985.619,470.177,1343.363,2141.015,2200,705.061,1612.208,0,165815.641,165815.641,157192.466,-8623.175,71.451,-3.919625,596767.834,271.258,-3363.03825,-1.52865375,428615.9215,194.8253125
4,3.4,2,10,0.4,1150,1,1,20,2,3,0.06,0.03,0.1,3,2,0,3,2,1,1046.241,533.992,1334.981,2123.863,2300,708.839,1614.876,84938.734,189424.901,274363.635,161589.04,-112774.595,70.256,-49.03243261,770566.461,335.029,-43982.09205,-19.12264872,-1428538.142,-621.1034359
5,3.6,7,30,0.35,1000,1,1,0,1,2,0.07,0.02,0.09,3,1,3,1,0,2,3420.402,1614.815,4613.758,7365.658,7000,639.744,1335.053,260923.549,124827.472,385751.022,879320.649,493569.627,125.617,70.50994671,2357547.372,336.792,192492.1545,27.49887922,11982155.1,1711.735961
5,3.6,7,-20,0.15,950,0,0,10,5,6,0.04,0.03,0.07,1,3,3,4,3,2,2527.254,674.629,4497.53,7180.105,6650,632.476,1449.895,0,0,0,1016223.108,1016223.108,152.816,152.815505,1698470.736,255.409,396327.0121,59.59804694,21514821.34,3235.311347
5,3.6,3,-15,0.2,1450,1,0,0,1,4,0.06,0.02,0.1,0,0,1,2,1,2,1260.662,476.031,2380.153,3799.808,4350,681.387,1335.053,176452.519,0,176452.519,509234.539,332782.02,117.065,76.50161379,1371944.751,315.39,129784.9878,29.83562938,7861194.141,1807.171469
5,3.4,1,5,0.2,1000,0,0,15,3,1,0.08,0.02,0.04,3,1,0,0,3,0,387.752,124.498,622.491,990.341,1000,741.353,1516.915,0,0,0,155402.482,155402.482,155.402,155.402482,225309.348,225.309,60606.96798,60.60696798,3255657.747,3255.657399
5,2.9,4,15,0.1,950,1,1,10,2,4,0.03,0.01,0.03,3,2,3,0,3,4,1274.601,207.029,2070.291,3258.199,3800,663.141,1461.454,184846.73,106211.135,291057.865,512343.021,221285.156,134.827,58.23293579,1304966.841,343.412,86301.21084,22.71084496,5620027.383,1478.954248
5,3.4,1,-25,0.2,1100,1,1,0,2,6,0.1,0.03,0.04,2,2,1,0,0,0,393.452,130.498,652.491,1038.068,1100,743.872,1335.053,58089.002,112344.725,170433.727,161271.927,-9161.8,146.611,-8.328909091,582972.269,529.975,-3573.102,-3.248274545,404317.169,367.5612727
5,3.3,3,25,0.2,1300,0,1,20,2,2,0.09,0.05,0.03,2,1,3,3,0,0,1201.1,413.332,2066.662,3281.69,3900,679.896,1545.605,0,187868.277,187868.277,465442.719,277574.442,119.344,71.17293385,894691.319,229.408,108254.0324,27.7574442,6307392.938,1617.28021
5,3.4,6,10,0.5,1250,1,1,35,2,5,0.08,0.01,0.08,0,1,2,4,3,1,3600.791,2088.379,4176.759,6644.936,7500,647.045,1637.098,202150.797,86970.838,289121.635,838033,548911.365,111.738,73.188182,2090398.117,278.72,214075.4324,28.54339098,12794169.73,1705.889549
5,3.5,4,-20,0.5,1100,1,1,20,2,3,0.07,0.04,0.08,1,1,1,2,3,1,2354.083,1343.363,2686.726,4282.03,4400,660.928,1536.555,132824.782,172401.452,305226.234,668349.249,363123.015,151.898,82.52795795,1314096.411,298.658,141617.9759,32.1859036,8394995.204,1907.95318
5,3.2,5,0,0.5,1050,0,0,30,5,5,0.08,0.02,0.08,1,3,0,3,0,3,2772.346,1499.979,2999.957,4754.082,5250,659.316,1621.338,0,0,0,605690.78,605690.78,115.37,115.3696724,905033.633,172.387,236219.4042,44.99417223,12716003.84,2422.095611
5,3.1,2,20,0.4,1450,0,1,25,2,1,0.03,0.03,0.03,1,1,0,0,1,0,1058.174,546.554,1366.384,2160.675,2900,721.037,1586.533,0,195540.231,195540.231,387065.182,191524.951,133.471,66.04308655,720520.809,248.455,74694.73089,25.75680376,4455257.354,1536.295188
5,2.9,4,15,0.1,1000,0,1,40,4,3,0.1,0.02,0.09,0,1,0,1,3,1,1279.683,212.379,2123.793,3342.399,4000,669.707,1638.815,0,167159.169,167159.169,439994.135,272834.966,109.999,68.2087415,921092.063,230.273,106405.6367,26.60140919,6241373.9,1560.343459
5,3.5,5,-30,0.35,1000,0,1,30,6,1,0.09,0.04,0.04,0,3,2,0,2,2,2412.707,1121.399,3203.998,5106.444,5000,643.86,1557.948,0,132425.597,132425.597,607399.801,474974.204,121.48,94.9948408,1255393.85,251.079,185239.9396,37.04798791,10517390.83,2103.478396
5,2.9,6,-5,0.5,1350,1,0,35,5,6,0.04,0.03,0.06,3,3,0,4,2,4,3375.335,1851.05,3702.1,5826.318,8100,646.701,1632.914,81401.096,0,81401.096,936360.581,854959.485,115.6,105.5505537,1769043.516,218.4,333434.1992,41.16471594,18440753.47,2276.635797
5,3.4,7,20,0.3,1400,0,0,35,6,2,0.07,0.02,0.1,2,1,1,5,2,0,3355.354,1546.342,5154.472,8200.41,9800,645.083,1625.701,0,0,0,1161585.456,1161585.456,118.529,118.5291282,1715659.445,175.067,453018.3278,46.22635998,24366575.84,2486.384999
5,3.2,5,15,0.45,1350,1,1,0,6,2,0.06,0.03,0.06,2,3,3,0,0,2,2802.673,1531.903,3404.23,5394.739,6750,662.83,1335.053,151902.49,168517.087,320419.578,721055.098,400635.52,106.823,59.35341037,2014272.633,298.411,156247.8528,23.14783004,9826665.273,1455.802502
5,3.6,5,-10,0.25,1000,0,0,20,6,5,0.07,0.03,0.06,2,3,3,3,0,4,2130.078,823.885,3295.541,5261.184,5000,644.447,1551.948,0,0,0,647402.724,647402.724,129.481,129.4805448,1087700.318,217.54,252487.0624,50.49741247,13712053.44,2742.410624
5,3.2,6,-10,0.15,1150,0,0,35,2,5,0.04,0.02,0.05,2,3,0,5,2,3,2154.01,565.404,3769.358,5973.364,6900,640.282,1625.018,0,0,0,819815.199,819815.199,118.814,118.813797,1329275.715,192.649,319727.9276,46.33738081,17315672.1,2509.518041
5,3,3,-25,0.4,1200,1,0,5,5,2,0.04,0.01,0.05,1,1,2,1,2,4,1494.244,721.915,1804.787,2847.365,3600,686.466,1392.527,50548.173,0,50548.173,411387.76,360839.587,114.274,100.2332186,809084.54,224.746,140727.4389,39.09095526,7845456.487,2179.293763
5,3.1,3,-20,0.1,1100,1,0,35,4,3,0.04,0.04,0.05,2,0,1,0,0,3,977.993,178.475,1784.754,2822.247,3300,676.38,1601.773,132982.11,0,132982.11,403729.948,270747.838,122.342,82.04479939,966924.491,293.007,105591.6568,31.99747176,6246507.332,1892.880588
5,3.5,4,-25,0.25,1100,1,0,40,2,5,0.05,0.02,0.08,0,2,0,2,1,2,1716.006,671.682,2686.726,4282.03,4400,661.557,1588.618,199426.68,0,199426.68,525871.887,326445.207,119.516,74.1920925,1417249.81,322.102,127313.6307,28.93491608,7782931.347,1768.847804
5,3.3,1,5,0.4,1300,0,0,0,4,5,0.04,0.05,0.07,1,1,1,2,0,4,531.251,275.555,688.887,1093.897,1300,744.759,1335.053,0,0,0,185405.006,185405.006,142.619,142.6192354,247525.46,190.404,72307.95234,55.6215018,3862923.077,2971.47909
5,3.5,2,5,0.4,1400,1,0,10,5,2,0.07,0.01,0.06,2,0,2,4,2,4,1115.034,606.408,1516.021,2416.192,2800,711.151,1463.424,43987.279,0,43987.279,312174.771,268187.492,111.491,95.78124714,759859.725,271.378,104593.1219,37.35468639,5989515.819,2139.112319
